Datum,text
2017-01-18 22:18:03,"23:18 Ilava, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:02,"23:18 Stará Ľubovňa, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:57,"23:17 Partizánske, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:56,"23:17 Brezno, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:56,"23:17 Bytča, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:56,"23:17 Považská Bystrica, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:56,"23:17 Krupina, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:53,"23:17 Rožňava, Košický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:51,"23:17 Turčianske Teplice, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:51,"23:17 Piešťany, Trnavský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:51,"23:17 Sabinov, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:51,"23:17 Bánovce nad Bebravou, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:49,"23:17 Topoľčany, Nitriansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:39,"23:17 Banská Štiavnica, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:39,"23:17 Kysucké Nové Mesto, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:39,"23:17 Detva, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:36,"23:17 Dolný Kubín, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:33,"23:17 Kežmarok, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:32,"23:17 Poltár, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:29,"23:17 Levoča, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:17:19,"23:17 Revúca, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:03:46,"23:03 Košice-Lorinčík, okres Košice II - nehoda"
2017-01-18 21:57:10,"22:57 Košice-Lorinčík, okres Košice II - nehoda"
2017-01-18 20:45:25,"21:45 Od  Žabokreky, okres Martin, do  Žabokreky, okres Martin - komunikácia uzatvorená"
2017-01-18 20:42:05,"21:42 Žabokreky, okres Martin - spadnuté elektrické vedenie"
2017-01-18 19:49:11,"20:49 Ubľa, okres Snina - spomalená premávka"
2017-01-18 18:46:37,"19:46 Pohranice, okres Nitra - prekážka - opustené vozidlo"
2017-01-18 18:12:01,"19:12 Ubľa, okres Snina - spomalená premávka"
2017-01-18 18:11:30,"19:11 Ubľa, okres Snina - spomalená premávka"
2017-01-18 18:09:53,"19:09 Kriváň, okres Detva - prekážajúce vozidlo"
2017-01-18 18:07:31,"19:07 Nová, Tvrdošín - prebieha policajná kontrola"
2017-01-18 18:05:46,"19:05 Dargov, okres Trebišov - prekážajúce vozidlo"
2017-01-18 17:18:53,"18:18 Hlavná 415/155, Sečovská Polianka - zasnežená vozovka"
2017-01-18 17:06:24,"18:06 Račianska 1548/6, Nové Mesto, Bratislava - Nové Mesto - nehoda - zrážka najmenej dvoch vozidiel"
2017-01-18 17:04:58,"18:04 Od  Rudno nad Hronom 91, Rudno nad Hronom, do  Rudno nad Hronom 244, Rudno nad Hronom - utlačený sneh"
2017-01-18 16:11:16,"17:11 Turňa nad Bodvou, okres Košice - okolie - zasnežená vozovka"
2017-01-18 16:09:36,"17:09 Hlavná 443/84, Dlhé nad Cirochou - prekážajúce vozidlo"
2017-01-18 16:07:25,17:07 Nitra - prekážajúce vozidlo
2017-01-18 15:54:04,"16:54 Od  Bratislava-Petržalka, okres Bratislava V, do  Igram, okres Senec - prebieha policajná kontrola"
2017-01-18 15:51:53,"16:51 Vyšné Nemecké, okres Sobrance - spomalená premávka"
2017-01-18 15:31:02,"16:31 Nitrianska Blatnica 158, Nitrianska Blatnica - prebieha policajná kontrola"
2017-01-18 15:19:46,"16:19 SNP, Hlohovec - tvoria sa kolóny"
2017-01-18 15:12:56,"16:12 Dlhá 402/15, Nitrianske Pravno - nehoda"
2017-01-18 15:05:13,"16:05 Od  Prešov, do  Drienovská Nová Ves, okres Prešov - prebieha policajná kontrola"
2017-01-18 14:56:27,"15:56 Vyšné Nemecké, okres Sobrance - spomalená premávka"
2017-01-18 14:19:17,"15:19 Košická, Žilina - nehoda - zrážka najmenej dvoch vozidiel"
2017-01-18 14:17:16,"15:17 Šášovské Podhradie 120, Šášovské Podhradie, Žiar nad Hronom - prekážka - pokazené nákladné vozidlo"
2017-01-18 14:15:44,"15:15 Myslenická, Pezinok - nehoda"
2017-01-18 14:14:31,"15:14 Karloveská 407/3, Karlova Ves, Bratislava - Karlova Ves - nehoda"
2017-01-18 14:05:15,"15:05 Tunel Branisko, Korytné - prebieha policajná kontrola"
2017-01-18 14:02:33,"15:02 Rokytovce 46, Rokytovce - prebieha policajná kontrola"
2017-01-18 13:44:18,"14:44 Vyšnokubínska, Vyšný Kubín - prebieha policajná kontrola"
2017-01-18 13:42:22,"14:42 Arm. gen. Svobodu, Prešov - prebieha policajná kontrola"
2017-01-18 13:39:55,"14:39 Dolné Trhovište 45, Dolné Trhovište - prebieha policajná kontrola"
2017-01-18 13:33:19,"14:33 Bačkov, okres Trebišov - zasnežená vozovka"
2017-01-18 13:22:44,"14:22 Hlavná, Huncovce - nehoda"
2017-01-18 13:20:54,"14:20 Bretejovce 129, Bretejovce - prebieha policajná kontrola"
2017-01-18 13:19:28,"14:19 Cemjata, Prešov - prebieha policajná kontrola"
2017-01-18 13:12:43,"14:12 Od  Žilina, do  Kysucké Nové Mesto - prebieha policajná kontrola"
2017-01-18 12:52:46,"13:52 Vyšné Nemecké, okres Sobrance - spomalená premávka"
2017-01-18 12:44:56,"13:44 Boleráz, okres Trnava - prekážajúce vozidlo"
2017-01-18 12:41:49,"13:41 Jablonica, okres Senica - poľadovica"
2017-01-18 12:40:31,"13:40 Zamarovská 413, Zamarovce - prekážka - opustené vozidlo"
2017-01-18 12:40:09,13:40 Levoča - prebieha odstraňovanie snehu pluhmi
2017-01-18 12:31:17,"13:31 Od  Moravský Svätý Ján, okres Senica, do  Bratislava-Čunovo, okres Bratislava V - prebieha policajná kontrola"
2017-01-18 12:04:11,"13:04 Vyšné Nemecké, okres Sobrance - spomalená premávka"
2017-01-18 11:57:00,"12:56 Vyšné Nemecké, okres Sobrance - spomalená premávka"
2017-01-18 11:51:19,"12:51 Beharovce, okres Levoča - obmedzenie najvyššej dovolenej rýchlosti"
2017-01-18 11:42:41,"12:42 Beckov 179, Beckov - prebieha bližšie neurčená činnosť orgánov alebo úradov"
2017-01-18 11:40:29,"12:40 Lamačská cesta, Bratislava - prebieha bližšie neurčená činnosť orgánov alebo úradov"
2017-01-18 11:21:47,"12:21 Rajčany 149, Rajčany - prekážka - zvieratá na ceste"
2017-01-18 11:13:15,12:13 Šaľa - prebieha bližšie neurčená činnosť orgánov alebo úradov
2017-01-18 10:35:40,"11:35 Od  Novozámocká cesta, Komárno, do  Komárňanská 300/26, Hurbanovo - prebieha bližšie neurčená činnosť orgánov alebo úradov"
2017-01-18 10:34:44,"11:34 Vyšné Nemecké, okres Sobrance - spomalená premávka"
2017-01-18 10:12:23,"11:12 Harmanec 17, Harmanec - poškodený povrch vozovky"
2017-01-18 10:10:19,"11:10 Dolný Harmanec, okres Banská Bystrica - prekážka - opustené vozidlo"
2017-01-18 09:15:33,"10:15 Šarišské Michaľany, okres Sabinov - nehoda - zrážka najmenej dvoch vozidiel"
2017-01-18 09:11:33,"10:11 Svinica, okres Košice - okolie - nehoda - zrážka najmenej dvoch vozidiel"
2017-01-18 09:10:12,"10:10 Od  Sládkovičova 285, Tisovec, do  Hlavná, Pohronská Polhora - použite protišmykové reťaze"
2017-01-18 09:09:50,"10:09 Hlavná 69, Rovinka, Senec, Bratislavský - pomalá premávka"
2017-01-18 09:04:56,"10:04 Staré Hory, okres Banská Bystrica - prebieha bližšie neurčená činnosť orgánov alebo úradov"
2017-01-18 08:54:27,"09:54 Honce 127, Honce - nehoda - skrížená jazdná súprava"
2017-01-18 08:38:13,"09:38 Drevárska, Poprad - bližšie neurčená prekážka"
2017-01-18 08:36:41,"09:36 Od  Slovenské Pravno, okres Turčianske Teplice, do  Príbovce, okres Martin - čerstvý sneh, zasnežená vozovka"
2017-01-18 08:33:25,"09:33 Blatná na Ostrove, okres Dunajská Streda - prekážajúce vozidlo"
